timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
139 289 294 0.3939084551743674 0.006091544825632622
140 24 30 0.3908848409831816 0.00911515901681842
140 145 262 0.3925202808405184 0.007479719159481646
141 86 123 0.39423249713370984 0.005767502866290186
141 132 272 0.39290294416032867 0.007097055839671351
141 188 206 0.3932240204071704 0.006775979592829606
142 71 236 0.3953309221445279 0.0046690778554721035
142 279 320 0.3927572343772061 0.007242765622793912
143 122 131 0.3924660907588841 0.00753390924111591
143 209 296 0.3963324652056149 0.003667534794385141
143 356 377 0.39911362512978316 8.863748702168661E-4
146 33 58 0.396378354746203 0.0036216452537970456
146 221 315 0.3993510709781173 6.489290218827382E-4
147 85 250 0.39193670394986196 0.008063296050138058
149 143 236 0.39180925215522155 0.008190747844778468
150 357 377 0.39320756266475876 0.006792437335241264
153 28 182 0.3982345960012765 0.001765403998723547
153 51 352 0.39296850294920266 0.007031497050797364
153 173 280 0.3963757278782665 0.003624272121733496
153 181 283 0.38987758240836395 0.010122417591636068
153 279 285 0.3911354643781469 0.008864535621853131
154 33 58 0.3957084631994845 0.0042915368005155274
154 301 350 0.3987434165776888 0.0012565834223112193
156 60 147 0.39148358203948824 0.00851641796051178
156 86 339 0.39134839866071686 0.008651601339283166
156 254 289 0.3992453358548148 7.546641451852132E-4
157 12 215 0.3888854584572083 0.011114541542791734
158 112 249 0.39702748894038536 0.0029725110596146576
159 48 307 0.3922230126318074 0.0077769873681926005
159 86 226 0.39935055836555144 6.494416344485776E-4
160 86 226 0.39935055836555144 6.494416344485776E-4
161 17 252 0.39439302525366704 0.005606974746332982
162 17 58 0.39779942705118904 0.002200572948810986
162 260 318 0.3953293377068033 0.004670662293196737
164 17 334 0.3954478493312911 0.004552150668708899
165 45 346 0.3994172533997116 5.827466002883974E-4
165 207 244 0.3916563167636213 0.00834368323637874
165 343 365 0.3896173840548037 0.01038261594519635
166 205 350 0.3983866626646322 0.001613337335367837
166 345 366 0.3925857580625503 0.007414241937449717
167 357 364 0.3920993543044928 0.007900645695507247
168 11 310 0.390839953458934 0.009160046541066003
168 47 339 0.3954878082428773 0.004512191757122697
168 143 383 0.3993582743510053 6.417256489947287E-4
169 35 220 0.3996495679258165 3.504320741835043E-4
169 45 329 0.39949103386535323 5.089661346467933E-4
169 133 252 0.39112696629597904 0.008873033704020983
169 260 306 0.3934496757390885 0.006550324260911511
169 266 383 0.3948806313964504 0.005119368603549612
170 45 329 0.39949103386535323 5.089661346467933E-4
170 307 319 0.3976854558653333 0.002314544134666696
170 340 392 0.39676608542416336 0.0032339145758366605
170 354 388 0.3978279551104575 0.002172044889542535
171 58 220 0.39142779850365766 0.008572201496342358
172 159 372 0.3968567132784062 0.0031432867215938076
173 189 301 0.39537753334139014 0.004622466658609881
173 194 265 0.39558900351572707 0.004410996484272955
174 358 365 0.39725469445795103 0.0027453055420489925
175 192 343 0.39244498257690635 0.007555017423093668
175 264 295 0.3899855090938954 0.010014490906104623
176 326 376 0.3941927938888836 0.005807206111116403
178 111 264 0.3949850818415857 0.0050149181584143165
179 29 188 0.3975621763914788 0.002437823608521239
179 260 324 0.39210244933526683 0.007897550664733188
179 313 395 0.39051888514359934 0.009481114856400685
179 329 388 0.3972294311247945 0.002770568875205548
180 45 329 0.3984193458522826 0.0015806541477174085
181 51 100 0.3912811966167188 0.008718803383281237
181 189 361 0.39147017827553593 0.008529821724464093
181 208 340 0.3904217019074708 0.009578298092529247
182 50 72 0.3908286550848581 0.009171344915141932
183 39 358 0.3975640928785814 0.0024359071214186123
184 132 240 0.393539492102385 0.006460507897615042
186 260 359 0.3953476012158489 0.004652398784151135
187 189 324 0.39588676539040024 0.004113234609599781
188 343 354 0.3929474200913181 0.007052579908681911
189 236 340 0.391252434753783 0.008747565246217004
192 30 329 0.3999817944192704 1.8205580729624415E-5
193 56 379 0.39552843269921817 0.0044715673007818535
193 57 381 0.3949726131958316 0.005027386804168421
195 133 390 0.39526685235528336 0.004733147644716662
195 201 374 0.3941240096422322 0.005875990357767813
196 4 189 0.3928557820789208 0.007144217921079221
196 56 336 0.396780587312991 0.003219412687009038
196 140 285 0.3994396219911831 5.603780088169197E-4
197 93 317 0.39597176052854016 0.00402823947145986
197 340 343 0.39765014097853746 0.0023498590214625636
198 4 189 0.39359751092171297 0.006402489078287055
199 115 329 0.39331573126166586 0.006684268738334165
200 18 352 0.3964910605220942 0.0035089394779058147
201 19 26 0.3920811191529304 0.007918880847069598
201 189 337 0.39878182714915494 0.0012181728508450784
204 26 200 0.3960837386282241 0.00391626137177592
205 231 320 0.396354146420258 0.003645853579742009
206 148 382 0.3926695469379363 0.007330453062063702
206 294 374 0.3919151914922053 0.00808480850779475
208 260 378 0.39665222275330364 0.0033477772466963818
209 328 394 0.3963706259550861 0.0036293740449139245
210 136 385 0.39192508054760555 0.008074919452394469
211 52 335 0.39942863955806857 5.713604419314566E-4
211 108 275 0.39008763695170395 0.009912363048296069
211 260 336 0.3910039787850659 0.008996021214934147
212 279 323 0.3901708543988751 0.009829145601124911
213 30 368 0.3931078731713778 0.006892126828622225
213 78 115 0.39084054496211434 0.009159455037885678
215 156 323 0.39516885998178214 0.004831140018217883
216 227 350 0.3900475361733028 0.009952463826697233
216 331 337 0.3914324717546621 0.008567528245337908
219 260 370 0.39003865669049104 0.009961343309508985
220 51 188 0.3923067203703928 0.007693279629607197
220 333 373 0.39629967225984203 0.0037003277401579937
221 260 332 0.3906296993542219 0.009370300645778096
222 115 396 0.3981200800857563 0.001879919914243744
222 260 332 0.3992934260285726 7.065739714274266E-4
222 287 345 0.3897413094295466 0.010258690570453421
223 158 369 0.39842608031642 0.0015739196835800051
224 148 335 0.39726595417092786 0.0027340458290721625
225 115 335 0.392882099410805 0.007117900589195036
225 226 351 0.3911681356347287 0.008831864365271336
225 247 283 0.39809839085877957 0.0019016091412204505
226 332 351 0.39944757111501195 5.524288849880765E-4
227 135 181 0.3920076369292402 0.007992363070759845
227 148 323 0.3938474440942675 0.0061525559057325485
228 189 197 0.39892802459711585 0.0010719754028841733
229 253 283 0.39980053034924246 1.9946965075756662E-4
233 260 384 0.3941948792656857 0.0058051207343143285
234 260 384 0.3989152444920281 0.001084755507971935
236 95 386 0.39705915219681237 0.0029408478031876517
238 243 394 0.39195313375069607 0.008046866249303952
239 48 265 0.39896330424287696 0.0010366957571230628
241 312 351 0.39163123565505836 0.00836876434494166
241 370 396 0.3947220473585135 0.005277952641486505
245 1 379 0.3929093707680291 0.007090629231970902
246 247 375 0.39601037443981174 0.003989625560188281
254 247 340 0.39214923484653835 0.00785076515346167
255 30 136 0.39664117178661085 0.0033588282133891756
259 95 335 0.39883417112944936 0.001165828870550667
259 298 351 0.3967352384476491 0.0032647615523509477
260 11 382 0.3906369254583299 0.009363074541670124
266 312 351 0.39510615697449036 0.004893843025509659
272 177 309 0.39293716148451885 0.0070628385154811735
277 343 382 0.39872431492154964 0.0012756850784503837
279 49 298 0.39829034119919043 0.001709658800809588
290 113 129 0.3950112819230516 0.004988718076948395
291 52 289 0.3984330137272872 0.0015669862727128447
